"Brand ID","Brand ID"
Status,Status
Enabled,Enabled
Disabled,Disabled
Attribute,Attribute
Brand,Brand
ID,ID
"Landing Page","Landing Page"
"Attribute Value","Attribute Value"
Root,Root
"Use Config","Use Config"
"All Values","All Values"
"UNKNOWN CATEGORY","UNKNOWN CATEGORY"
"UNKNOWN PRODUCT","UNKNOWN PRODUCT"
"All Store Views","All Store Views"
SEO,SEO
"SEO Common Settings","SEO Common Settings"
"These settings can be used in the other SEO extensions.","These settings can be used in the other SEO extensions."
"Length settings for Properties","Length settings for Properties"
"Meta Title Max Length","Meta Title Max Length"
"Meta Description Max Length","Meta Description Max Length"
"Meta Keywords Max Length","Meta Keywords Max Length"
"H1 Tag Max Length","H1 Tag Max Length"
"URL Path Max Length","URL Path Max Length"
